MixtureID,CO2,N2,C1,C2,C3,IC4,NC4,IC5,NC5,NC6,NC7
1,0,0,0.1,0.9,0,0,0,0,0,0,0
2,0.95,0.05,0,0,0,0,0,0,0,0,0
3,0,0,0,0.429,0,0,0.373,0,0,0,0.198
4,0,0,0,0.726,0,0,0.171,0,0,0,0.103
5,0,0,0,0.514,0,0,0.412,0,0,0,0.074
6,0,0,0,0.801,0,0,0,0.064,0,0,0.135
7,0,0,0,0.612,0,0,0,0.271,0,0,0.117
8,0,0,0,0.615,0,0,0,0.296,0,0,0.089
9,0,0.0465,0.453,0,0.5005,0,0,0,0,0,0
10,0,0,0.193,0.47,0,0,0.337,0,0,0,0
11,0,0,0.391,0.354,0,0,0.255,0,0,0,0
12,0,0,0.04,0.821,0,0,0.139,0,0,0,0
13,0,0,0.007,0.879,0,0,0.114,0,0,0,0
14,0,0,0.461,0.443,0,0,0,0,0.095,0,0
15,0,0,0.196,0.758,0,0,0,0,0.045,0,0
16,0,0,0,0.996,0.001,0,0.003,0,0,0,0
17,0,0,0,0.99,0.004,0,0.006,0,0,0,0
18,0,0,0,0.98,0.016,0,0.004,0,0,0,0
19,0,0,0,0.97,0.027,0,0.003,0,0,0,0
20,0,0,0,0.3414,0.3421,0,0,0,0.3165,0,0
21,0,0,0,0,0.3276,0,0.3398,0,0.3326,0,0
22,0,0,0,0,0.201,0,0.399,0,0.4,0,0
23,0,0,0,0,0.201,0,0.298,0,0.501,0,0
24,0,0,0,0,0.198,0,0.106,0,0.696,0,0
25,0,0,0,0,0,0,0.6449,0,0.2359,0.1192,0
26,0,0,0.833,0.13,0.035,0,0,0,0,0,0
27,0,0,0.8,0.039,0.161,0,0,0,0,0,0
28,0,0.049,0.4345,0.0835,0.433,0,0,0,0,0,0
29,0,0,0,0.6168,0,0,0.1376,0.0726,0,0,0.173
30,0,0,0,0.2542,0.2547,0,0.2554,0,0.2357,0,0
31,0,0,0,0,0.4858,0,0.3316,0,0.1213,0.0613,0
32,0,0.033,0.91,0.056,0.0012,0,0,0,0,0,0
33,0,0.015,0.959,0.026,0.0001,0,0,0,0,0,0
34,0,0.016,0.95,0.026,0.0078,0,0,0,0,0,0
35,0,0,0,0.3977,0.2926,0,0.1997,0,0.0713,0.0369,0
36,0,0,0.2019,0.2029,0.2033,0,0.2038,0,0.1881,0,0
37,0,0.016,0.945,0.026,0.0081,0,0.0052,0,0,0,0
38,0,0,0.1015,0.3573,0.2629,0,0.1794,0,0.0657,0.0332,0
39,0,0.022,0.316,0.388,0.223,0,0.043,0,0.008,0,0
40,0,0.014,0.943,0.027,0.0074,0,0.0049,0,0.001,0.0027,0
41,0.0109,0.0884,0.8286,0.0401,0.0174,0.003,0.0055,0.0019,0.0012,0.0014,0.0006
42,0.002,0.24,0.7364,0.012,0.0053,0.001,0.0015,0.0005,0.0004,0.00004,0.0005
43,0.003,0.113,0.858,0.015,0.006,0.0012,0.0018,0.0006,0.0004,0.0004,0.0006
44,0.01,0.1611,0.7625,0.0369,0.016,0.0028,0.0051,0.0018,0.0011,0.0012,0.0015